,lag,prob
0,-8,0.028996101364522416
1,-7,0.05980587216203137
2,-6,0.06120554984438832
3,-5,0.05008874751490681
4,-4,0.07220750046469797
5,-3,0.08877691443914118
6,-2,0.15253242406234457
7,-1,0.30338874639229974
8,0,
9,1,0.37433024150354044
10,2,0.16064021531687372
11,3,0.10235216264137773
12,4,0.04104262612053414
13,5,0.06887270627850005
14,6,0.04157368974521236
15,7,0.05167659486881455
16,8,0.03613516113516113
17,-8,0.0564705015075859
18,-7,0.07009064531645177
19,-6,0.06941281538044466
20,-5,0.07553559535702394
21,-4,0.08093290240403742
22,-3,0.09742818748142607
23,-2,0.16763634573214856
24,-1,0.2827306689031654
25,0,
26,1,0.38052617832988694
27,2,0.20082716686362337
28,3,0.10114110203865179
29,4,0.07849450187154586
30,5,0.06670924972229023
31,6,0.043416674480104216
32,7,0.10561816806382023
33,8,0.06498376623376623
34,-8,0.08823975714687789
35,-7,0.0606525264233175
36,-6,0.05291290169678642
37,-5,0.05293044539523143
38,-4,0.05474641257155107
39,-3,0.06825945220613469
40,-2,0.14993428462762967
41,-1,0.25302385261952476
42,0,
43,1,0.4726427339689561
44,2,0.1711802617594765
45,3,0.10723184699294393
46,4,0.06176716190100819
47,5,0.05806102121132134
48,6,0.051633394906770616
49,7,0.0519426772058351
50,8,0.022424242424242423
51,-8,0.016275062656641602
52,-7,0.04622330282227307
53,-6,0.044779800809212573
54,-5,0.04785021183412247
55,-4,0.07511826953003423
56,-3,0.08848768534164667
57,-2,0.15982950105718594
58,-1,0.30713683998253016
59,0,
60,1,0.5197962941857485
61,2,0.20562635142997499
62,3,0.11764302037103627
63,4,0.06491576305847682
64,5,0.05357105471472264
65,6,0.0473028502449882
66,7,0.055169293072518874
67,8,0.04679263259287488
68,-8,0.04825071442718502
69,-7,0.05972554407420308
70,-6,0.06176513815402704
71,-5,0.06433176722495346
72,-4,0.07306531787008659
73,-3,0.0920330569096831
74,-2,0.1618756131970784
75,-1,0.2884461570167378
76,0,
77,1,0.3559082527694059
78,2,0.18388063435288132
79,3,0.09202515938021377
80,4,0.06733860155395083
81,5,0.08689359798226282
82,6,0.06730510936156098
83,7,0.06604316465427577
84,8,0.07128673795340462
85,-8,0.07033429533429533
86,-7,0.10314116751148235
87,-6,0.08819114793252723
88,-5,0.07753469944534816
89,-4,0.10989068250317353
90,-3,0.11909980193211515
91,-2,0.19464440527843715
92,-1,0.28993694007089
93,0,
94,1,0.3139670187274059
95,2,0.18102845539979112
96,3,0.13886752959104448
97,4,0.09160968259587259
98,5,0.08780417716832593
99,6,0.04103462829209298
100,7,0.046608776844070963
101,8,0.09256715506715507
102,-8,0.04971882915845764
103,-7,0.0793699116974979
104,-6,0.089824508081323
105,-5,0.06681090628934837
106,-4,0.09241614285872243
107,-3,0.11801249648294924
108,-2,0.1773121484909617
109,-1,0.3129491274028041
110,0,
111,1,0.343233137827659
112,2,0.21668774909259497
113,3,0.12025598157514536
114,4,0.08537269942526113
115,5,0.07013334998122296
116,6,0.048697114976139745
117,7,0.058121693121693116
118,8,0.07123892619248656
